Fecha,Fecha_Hora,Numero Cliente,Nombre Cliente,Esquema,Tipo Registro,Identificador / Código,Descripción / Detalle,Ubicación
2026-07-23,23 de july a las 04:47 pm,596666,Dimexperf S.A. de C.V.,Esquema Comercial 2017,PRODUCTO,10258,"Arco jardinero tubular de 24', TRUPER",Piso de Venta
2026-07-23,23 de july a las 04:47 pm,596666,Dimexperf S.A. de C.V.,Esquema Comercial 2017,MARCA,ADIR,Exhibidor / Marca: ADIR,Piso de Venta
2026-07-23,23 de july a las 04:55 pm,413938,Pladepomex S.A de C.V.,Esquema Comercial 2017,PRODUCTO,10254,"Arco jardinero tubular de 21', TRUPER",Piso de Venta
2026-07-23,23 de july a las 04:55 pm,413938,Pladepomex S.A de C.V.,Esquema Comercial 2017,PRODUCTO,12815,"Amarrador de varillas, TRUPER",Piso de Venta
2026-07-23,23 de july a las 04:55 pm,413938,Pladepomex S.A de C.V.,Esquema Comercial 2017,MARCA,ADIR,Exhibidor / Marca: ADIR,Piso de Venta
2026-07-23,23 de july a las 05:16 pm,401692,Pladepomex S.A de C.V.,Esquema Comercial 2017,PRODUCTO,12815,"Amarrador de varillas, TRUPER",Piso de Venta
2026-07-23,23 de july a las 05:16 pm,401692,Pladepomex S.A de C.V.,Esquema Comercial 2017,MARCA,AKSI,Exhibidor / Marca: AKSI,Piso de Venta
2026-07-24,24 de july a las 10:26 am,597406,Pladepomex S.A de C.V.,Esquema Comercial 2017,PRODUCTO,10254,"Arco jardinero tubular de 21', TRUPER",Piso de Venta
2026-07-24,24 de july a las 10:30 am,401692,Pladepomex S.A de C.V.,Esquema Comercial 2017,MARCA,ADIR,Exhibidor / Marca: ADIR,Piso de Venta
2026-07-24,24 de july a las 10:37 am,596666,Dimexperf S.A. de C.V.,Esquema Comercial 2017,MARCA,CELTA,Exhibidor / Marca: CELTA,Piso de Venta
2026-07-24,24 de july a las 10:41 am,596281,Dimexperf S.A. de C.V.,Esquema Comercial 2017,PRODUCTO,10221,"Arco calador con 5 seguetas de 6-1/2', TRUPER",Piso de Venta
2026-07-24,24 de july a las 10:42 am,596281,Dimexperf S.A. de C.V.,Esquema Comercial 2017,PRODUCTO,12815,"Amarrador de varillas, TRUPER",Piso de Venta
2026-07-24,24 de july a las 10:59 am,596167,Dimexperf S.A. de C.V.,Esquema Comercial 2017,PRODUCTO,12815,"Amarrador de varillas, TRUPER",Piso de Venta
2026-07-24,24 de july a las 10:59 am,596167,Dimexperf S.A. de C.V.,Esquema Comercial 2017,MARCA,AKSI,Exhibidor / Marca: AKSI,Piso de Venta
2026-07-24,24 de july a las 11:00 am,401692,Pladepomex S.A de C.V.,Esquema Comercial 2017,PRODUCTO,10254,"Arco jardinero tubular de 21', TRUPER",Piso de Venta
2026-07-24,24 de july a las 11:06 am,401692,Pladepomex S.A de C.V.,Esquema Comercial 2017,PRODUCTO,12815,"Amarrador de varillas, TRUPER",Piso de Venta
2026-07-27,27 de july a las 12:37 pm,596282,Dimexperf S.A. de C.V.,Esquema Comercial 2017,PRODUCTO,12815,"Amarrador de varillas, TRUPER",Almacén
2026-07-27,27 de july a las 12:37 pm,596282,Dimexperf S.A. de C.V.,Esquema Comercial 2017,MARCA,CADEMEX,Exhibidor / Marca: CADEMEX,Piso de Venta
2026-07-29,29 de july a las 11:06 pm,588816,Grupo Vaqueiro Ferretero S.A. de C.V.,Esquema Comercial 2017,PRODUCTO,103319,"Tornillo de banco 2.5' para joyero, TRUPER",Piso de Venta
2026-07-29,29 de july a las 11:06 pm,588816,Grupo Vaqueiro Ferretero S.A. de C.V.,Esquema Comercial 2017,MARCA,WILSON,Exhibidor / Marca: WILSON,Almacén
